条目ID,文件名称(全称),文号,位阶,制定区域,发布机关/牵头机关,公布日期,施行日期,效力状态,失效或修订日期,主题标签(主),主题标签(次),条文定位,规范主体,适用条件,行为模式类型,行为模式内容,法律后果,原文摘录,关联条目,央地权限配置,地方自主权类型,核实来源,录入人,版本,录入日期,备注
S37-011,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,能源基础设施,海洋可再生能源,第8项第3句,海洋可再生能源开发利用主体,多种类型海洋能共同开发,指导性,多种海洋能共同开发时，建议共用配套基础设施,本条未设,支持波浪能与海上风电同场开发，共建共享配套基础设施，降低波浪能资源综合开发成本。,,未作规定,,发布机关官网,S37,v1,2026-08-25,
S37-012,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,海洋可再生能源,,第8项第4句,海洋可再生能源开发利用主体,已建成海上风电场,指导性,在已建成的海上风电场，建议就地开发波浪能,本条未设,鼓励海上风电场配套开发波浪能。,,未作规定,,发布机关官网,S37,v1,2026-08-25,
S37-013,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,能源基础设施,生态环境与海岛保护,第10项,海洋可再生能源开发利用主体,海岛周围的海洋能开发利用,指导性,海岛附近的海洋能开发利用活动，建议开发利用多种类型海洋能，避免单一海洋能来源带来的能源安全问题。,本条未设,开展海岛多能互补应用。支持在海岛建设海洋能多能互补电站，实现向海岛及附近海域持续稳定供电，缓解海岛居民用电短缺，提升海岛能源安全保障能力。,,未作规定,,发布机关官网,S37,v1,2026-08-25,
S37-014,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,海洋可再生能源,能源基础设施,第11项第2句,海洋可再生能源开发利用主体,一般情形,指导性,海洋能开发利用活动，建议在基础设施方面与海洋油气资源设施等建立互联关系。,本条未设,引导海洋能与海水淡化、海上油气平台、防波堤等融合发展，支持海洋能为海洋观测监测装备及平台、海洋工程等提供绿色能源保障。,,未作规定,,发布机关官网,S37,v1,2026-08-25,
S37-015,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,海洋可再生能源,规划与区划,第12项,沿海省份,地方海洋能开发利用,指导性,沿海省份开发利用海洋能，建议将自身资源禀赋作为开发利用方向选择的考虑因素。,本条未设,推动产业集聚发展。依托沿海地方海洋能资源、技术、市场等优势，加强人才、技术、资金、政策等资源要素保障。鼓励山东、浙江、福建、广东、海南等省将发展潮流能、波浪能、温差能等纳入海洋经济发展重点任务，扩大示范工程规模，总结推广可复制的经验。,,授权细化,,发布机关官网,S37,v1,2026-08-25,
S37-016,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,海洋权益与涉外事务,,第16项第3句,国家,涉外情形下的海洋能开发利用,指导性,国家将在海洋能开发利用活动中与海洋能国际组织、相关国家开展合作交流，特别是一带一路国家。,本条未设,持续推进海洋能双多边合作，深化与海洋能国际组织和有关国家合作交流，挖掘与共建“一带一路”国家合作潜力。,,中央专属,,发布机关官网,S37,v1,2026-08-25,
S37-017,关于海上风电上网电价政策的通知,发改价格〔2014〕1216号,政策文件,国家,国家发展改革委,2014-06-05,2014-06-05,现行有效,,海洋可再生能源,价格、财税与市场机制,第1段第1句,所有人,海上风力发电的情形，且属于非招标的海上风电项目,定义性,非招标的海上风电上网电价分为潮间带风电上网电价与近海风电上网电价两种。,本条未设,对非招标的海上风电项目，区分潮间带风电和近海风电两种类型确定上网电价。,,统一执行,,发布机关官网,S37,v1,2026-08-25,
S37-018,关于海上风电上网电价政策的通知,发改价格〔2014〕1216号,政策文件,国家,国家发展改革委,2014-06-05,2014-06-05,现行有效,,海洋可再生能源,价格、财税与市场机制,第2段第1句,海上风电项目经营许可授权人,海上风电项目,授权性,海上风电项目经营主体的授予可以采用特许经营招标的方式，或其他市场竞争方式。,本条未设,鼓励通过特许权招标等市场竞争方式确定海上风电项目开发业主和上网电价。,,统一执行,,发布机关官网,S37,v1,2026-08-25,S037-018与-019的文本相同，但是本句话涵盖两个不同性质的行为。一个是确定发电主体资质（市场准入），一个是确定价格（价格政策）。;一文多义拆分:同一句原文分设两条不同性质规范
S37-019,关于海上风电上网电价政策的通知,发改价格〔2014〕1216号,政策文件,国家,国家发展改革委,2014-06-05,2014-06-05,现行有效,,海洋可再生能源,价格、财税与市场机制,第2段第1句,海上风电项目经营许可授权人,海上风电项目,授权性,通过招标等市场竞争方式确定的海上风电项目，上网电价按照中标价格执行。,本条未设,鼓励通过特许权招标等市场竞争方式确定海上风电项目开发业主和上网电价。,,统一执行,,发布机关官网,S37,v1,2026-08-25,S037-018与-019的文本相同，但是本句话涵盖两个不同性质的行为。一个是确定发电主体资质（市场准入），一个是确定价格（价格政策）。;一文多义拆分:同一句原文分设两条不同性质规范
S37-020,关于海上风电上网电价政策的通知,发改价格〔2014〕1216号,政策文件,国家,国家发展改革委,2014-06-05,2014-06-05,现行有效,,海洋可再生能源,价格、财税与市场机制,第2段第2句,海上风电项目经营许可授权人,经市场竞争机制获得海上风电项目经营许可的情况,禁止性,经过市场竞争机制确定的上网价格禁止高于同类项目上网电价。,本条未设,通过特许权招标确定业主的海上风电项目，其上网电价按照中标价格执行，但不得高于以上规定的同类项目上网电价水平。,,统一执行,,发布机关官网,S37,v1,2026-08-25,
S37-021,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第2条第2款,所有人,一般情形,定义性,深海海底区域指的是不在任何国家管辖权之下的海床、洋底及其地图。,本条未设,"本法所称深海海底区域,是指中华人民共和国和其他国家管辖范围以外的海床、洋底及其底土。",,未作规定,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
S37-022,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第5条第1句,国务院海洋主管部门,深海海底区域资源相关活动,授权性,国务院海洋主管部门负有深海海底区域资源相关活动的监督管理职权。,本条未设,国务院海洋主管部门负责对深海海底区域资源勘探、开发和资源调查活动的监督管理。,,中央专属,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
S37-023,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第7条第3款,中华人民共和国的公民、法人或者其他组织,向国际海底管理局申请从事深海海底区域相关活动之前,义务性,中华人民共和国的公民、法人或者其他组织从事深海海底区域相关活动之前，必须获得中华人民共和国的许可。,本条未设,"中华人民共和国的公民、法人或者其他组织在向国际海底管理局申请从事深海海底区域资源勘探、开发活动前,应当向国务院海洋主管部门提出申请。",,中央专属,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
S37-024,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第8条第1款,国务院海洋主管部门,中华人民共和国的公民、法人或者其他组织提出从事深海海底区域相关活动的申请,授权性,国务院海洋主管部门负有授予深海海底区域资源相关活动行政许可的权限。,本条未设,"国务院海洋主管部门应当对申请者提交的材料进行审查,对于符合国家利益并具备资金、技术、装备等能力条件的,应当在六十个工作日内予以许可,并出具相关文件。",,中央专属,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
S37-025,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第8条第3款,深海海底区域项目承包人,中华人民共和国的公民、法人或者其他组织与国际海底管理局签订勘探、开发合同后,义务性,中华人民共和国的公民、法人或者其他组织成为承包人后，应当向国务院海洋主管部门备案承包合同。,本条未设,"承包者应当自勘探、开发合同签订之日起三十日内,将合同副本报国务院海洋主管部门备案。",,中央专属,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
S37-026,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第9条第4款,深海海底区域项目承包人,承包人是中华人民共和国的公民、法人或其他组织的情况,义务性,承包人受中华人民共和国相关法律、行政法规管辖。,本条未设,承包者从事勘探、开发作业还应当遵守中华人民共和国有关安全生产、劳动保护方面的法律、行政法规。,,中央专属,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
S37-027,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第10条1款,深海海底区域项目承包人,承包合同转让前，或合同内容发生重大变更前,义务性,承包人转让承包合同，或合同内容发生重大变更前，承包人应当获得国务院海洋主管部门的行政许可。,本条未设,"承包者在转让勘探、开发合同的权利、义务前,或者在对勘探、开发合同作出重大变更前,应当报经国务院海洋主管管部门同意。",,中央专属,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
S37-028,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第19条,国务院海洋主管部门,一般情形,义务性,国务院海洋主管部门负有义务，监督检查承包者的国际海底区域相关活动。,本条未设,国务院海洋主管部门应当对承包者勘探、开发活动进行监督检查。,,中央专属,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
S37-029,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第20条,深海海底区域项目承包人,一般情形,义务性,国际海底区域项目承包人负有义务，向国务院海洋主管部门定期汇报深海海底区域相关活动情况。,本条未设,承包者应当定期向国务院海洋主管部门报告下列履行勘探、开发合同的事项,,中央专属,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
S37-030,中华人民共和国深海海底区域资源勘探开发法,无文号,法律,国家,全国人大及其常委会,2016-02-26,2016-05-01,现行有效,,海洋权益与涉外事务,,第24条,深海海底区域项目承包人,未按规定将勘探、开发合同副本报备案的,惩罚性,未按规定将勘探、开发合同副本报备案的承包人将受到责令改正与行政罚款。,未如实备案承包合同的承包人，将收到责令改正与两万以上十万以下的罚款。,"违反本法第八条第三款、第十条第二款、第十八条、第二十条、第二十二条规定,有下列行为之一的,由国务院海洋主管部门责令改正,处二万元以上十万元以下的罚款。",,中央专属,,国家法律法规数据库,S37,v1,2026-08-25,施行日期经母表核对修正(2016-02-26为公布日)
